"REF_DATE","GEO","DGUID","Security software use","Household income quartile","Age group","Level of education","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Total, Internet users aged 16 years and over","Total, level of education","Percent","239","units ","0","v65778243","1.1.1.1.1","84.7","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Total, Internet users aged 16 years and over","High school or less","Percent","239","units ","0","v74049242","1.1.1.1.2","82.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Total, Internet users aged 16 years and over","College, trades, or some university","Percent","239","units ","0","v74049243","1.1.1.1.3","84.9","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Total, Internet users aged 16 years and over","Bachelor's degree or higher","Percent","239","units ","0","v74049244","1.1.1.1.4","87.0","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 16 to 24 years","Total, level of education","Percent","239","units ","0","v74049245","1.1.1.2.1","79.9","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 16 to 24 years","High school or less","Percent","239","units ","0","v74049246","1.1.1.2.2","80.5","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 16 to 24 years","College, trades, or some university","Percent","239","units ","0","v74049247","1.1.1.2.3","79.4","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 16 to 24 years","Bachelor's degree or higher","Percent","239","units ","0","v74049248","1.1.1.2.4","77.7","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 25 to 44 years","Total, level of education","Percent","239","units ","0","v74049249","1.1.1.3.1","83.8","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 25 to 44 years","High school or less","Percent","239","units ","0","v74049250","1.1.1.3.2","81.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 25 to 44 years","College, trades, or some university","Percent","239","units ","0","v74049251","1.1.1.3.3","84.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 25 to 44 years","Bachelor's degree or higher","Percent","239","units ","0","v74049252","1.1.1.3.4","84.5","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 45 to 64 years","Total, level of education","Percent","239","units ","0","v74049253","1.1.1.4.1","88.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 45 to 64 years","High school or less","Percent","239","units ","0","v74049254","1.1.1.4.2","86.2","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 45 to 64 years","College, trades, or some university","Percent","239","units ","0","v74049255","1.1.1.4.3","87.8","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 45 to 64 years","Bachelor's degree or higher","Percent","239","units ","0","v74049256","1.1.1.4.4","91.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 65 years and over","Total, level of education","Percent","239","units ","0","v74049257","1.1.1.5.1","84.1","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 65 years and over","High school or less","Percent","239","units ","0","v74049258","1.1.1.5.2","77.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 65 years and over","College, trades, or some university","Percent","239","units ","0","v74049259","1.1.1.5.3","87.4","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Total, household income quartiles","Internet users aged 65 years and over","Bachelor's degree or higher","Percent","239","units ","0","v74049260","1.1.1.5.4","88.1","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Total, Internet users aged 16 years and over","Total, level of education","Percent","239","units ","0","v65778244","1.1.2.1.1","75.7","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Total, Internet users aged 16 years and over","High school or less","Percent","239","units ","0","v74049261","1.1.2.1.2","73.6","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Total, Internet users aged 16 years and over","College, trades, or some university","Percent","239","units ","0","v74049262","1.1.2.1.3","76.7","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Total, Internet users aged 16 years and over","Bachelor's degree or higher","Percent","239","units ","0","v74049263","1.1.2.1.4","77.9","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 16 to 24 years","Total, level of education","Percent","239","units ","0","v74049264","1.1.2.2.1","70.5","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 16 to 24 years","High school or less","Percent","239","units ","0","v74049265","1.1.2.2.2","72.0","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 16 to 24 years","College, trades, or some university","Percent","239","units ","0","v74049266","1.1.2.2.3","72.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 16 to 24 years","Bachelor's degree or higher","Percent","239","units ","0","v74049267","1.1.2.2.4","48.9","E","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 25 to 44 years","Total, level of education","Percent","239","units ","0","v74049268","1.1.2.3.1","76.3","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 25 to 44 years","High school or less","Percent","239","units ","0","v74049269","1.1.2.3.2","75.4","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 25 to 44 years","College, trades, or some university","Percent","239","units ","0","v74049270","1.1.2.3.3","74.1","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 25 to 44 years","Bachelor's degree or higher","Percent","239","units ","0","v74049271","1.1.2.3.4","80.5","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 45 to 64 years","Total, level of education","Percent","239","units ","0","v74049272","1.1.2.4.1","80.0","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 45 to 64 years","High school or less","Percent","239","units ","0","v74049273","1.1.2.4.2","76.5","","","","1"
"2010","Canada","2016A000011124","Internet users that currently use security software","Lowest quartile household income","Internet users aged 45 to 64 years","College, trades, or some university","Percent","239","units ","0","v74049274","1.1.2.4.3","81.9","","","","1"
